Zeitstempel;Participant number (XXX);Expert number;1.2 Time and Motion;1.3 Instrument Handling;1.4 Knowledge of Instruments;1.5 Flow of Procedure;1.6 Knowledge of Specific Procedure;1.7 Overall Performance;1.8 Quality of final product;QRS Overal;2.2 Handles bony tissue and fracture edges appropriately;2.4 Uses retractors and positioning aids appropriately to maintain exposure and assist reduction;2.5 Reduces fracture using appropriate techniques;2.6 Holds reduction with appropriate provisional fixation;2.7 Overall quality of provisional fixation ;2.6 Drill proximal cortex with 3.5;2.9 Inserts 2.5 guide and drills dor cortex with 2.5;2.10 Measures with depth gauge;2.11 Places screw, engaging in far cortex plate;2.13 Appropriately secures plate to bone (holds plate to bone with clamps or K-wire);2.14 Places cortical screws using appropriate techniques;2.15 Places cortical screws in an appropriate sequence;OSATS Overall;3.1 <5 discrete attempts at reduction;3.2 Safely achieved appropriate reduction using instruments;3.3 Reduction clamps/ wires positioned to facilitate instrumentation without removal;3.4 Appropriate use of soft tissue protector/ drill sleeve;3.5 Appropriate drill size for lag screw technique;3.6 Measured screw length appropriately with depth gauge;3.7 Lag screw engages and compresses the far cortex;3.8 Lag screw perpendicular to fracture/ does not displace fracture;3.9 If not lag screw, achieves compression with plate;3.10 Safely/ effectively holds plate on bone with forceps/clamp/wire;3.11 Screws drilled using appropriate guide/ soft tissue protector;3.12 Plate appropriately secured to bone in reasonable position;3.13 all screws appropriate length;CFS Overall;Did you recognize the participant?;Participant Number;Case Type
2024/07/30 10:41:55 PM OESZ;153;1;9;10;10;10;10;10;10;69;3;0;3;3;3; ; ;3;3;3;0;0;21;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;15;Ulna
2024/07/30 10:48:55 PM OESZ;163;1;9;9;10;9;10;9;9;65;3;0;3;3;3; ; ;2;3;3;0;3;23;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;16;Ulna
2024/07/30 10:58:07 PM OESZ;173;1;8;9;10;9;10;9;9;64;2;0;2;2;3; ; ;3;3;3;0;3;21;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;17;Ulna
2024/07/30 11:12:22 PM OESZ;183;1;5;5;6;5;6;6;6;39;1;0;1;1;2; ; ;2;2;1;1;2;13;0;1;1;1;0;1;  ; ;1;1;1;1;1;9;No;18;Ulna
2024/07/30 11:25:00 PM OESZ;193;1;10;10;10;9;10;10;10;69;3;0;3;3;3; ; ;3;3;3;3;3;27;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;19;Ulna
2024/07/30 11:32:48 PM OESZ;213;1;7;7;9;8;8;8;8;55;2;0;2;2;2; ; ;3;2;2;0;2;17;1;1;1;1;0;1;  ; ;1;1;1;1;1;10;No;21;Ulna
2024/07/30 11:41:10 PM OESZ;223;1;4;5;5;4;5;4;6;33;1;0;1;1;1; ; ;1;1;1;0;0;7;0;1;0;1;0;0;  ; ;0;1;1;1;1;6;No;22;Ulna
2024/07/30 11:48:32 PM OESZ;233;1;4;5;5;4;5;5;5;33;1;0;1;1;1; ; ;1;1;1;0;0;7;0;1;0;1;0;1;  ; ;1;1;1;1;1;8;No;23;Ulna
2024/07/31 11:12:27 PM OESZ;11;1;7;7;7;7;8;7;8;51;2;0;2;2;2;2;2;2;2;1;2;2;21;0;1;0;1;1;1;1;1; ;1;1;1;0;9;No;1;radius
2024/08/01 1:05:32 PM OESZ;21;1;4;5;4;4;5;4;7;33;1;0;1;1;1;1;1;1;2;1;1;1;12;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;2;radius
2024/08/01 1:17:16 PM OESZ;31;1;9;9;10;8;9;9;10;64;3;0;3;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;3;radius
2024/08/01 1:26:15 PM OESZ;41;1;4;4;4;4;4;4;4;28;1;0;1;1;1;1;0;1;1;1;1;1;10;0;1;0;0;0;0;0;1; ;1;0;1;1;5;No;4;radius
2024/08/01 1:35:11 PM OESZ;51;1;4;4;5;4;4;5;5;31;1;0;1;1;1;1;1;1;1;1;0;1;10;0;1;0;0;1;1;1;1; ;1;0;1;1;8;No;5;radius
2024/08/01 1:45:40 PM OESZ;61;1;4;6;5;4;5;5;5;34;1;0;1;1;1;1;1;1;0;1;1;1;10;0;1;0;0;1;1;1;1; ;1;0;1;0;7;No;6;radius
2024/08/01 2:16:44 PM OESZ;71;1;4;5;6;5;5;6;6;37;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;0;0;1;1;1;1; ;1;0;1;1;8;No;7;radius
2024/08/01 4:39:57 PM OESZ;91;1;8;8;8;8;8;9;9;58;2;0;2;2;2;2;2;2;2;2;2;2;22;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;9;radius
2024/08/01 4:46:24 PM OESZ;101;1;8;8;8;7;9;8;9;57;0;0;3;3;3;3;1;2;2;2;2;3;24;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;10;radius
2024/08/01 4:54:14 PM OESZ;111;1;6;5;6;7;6;6;8;44;2;0;2;2;2;2;0;1;2;2;2;2;19;1;1;1;0;1;1;1;1; ;1;0;1;1;10;No;11;radius
2024/08/01 5:00:19 PM OESZ;121;1;10;10;10;10;10;10;10;70;3;0;3;3;3;3;3;2;3;3;3;3;32;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;12;radius
2024/08/01 5:09:30 PM OESZ;131;1;6;5;7;6;8;7;8;47;2;0;2;2;2;2;2;2;1;2;2;2;21;1;1;1;1;1;1;1;0; ;1;1;1;1;11;No;13;radius
2024/08/01 5:16:31 PM OESZ;141;1;9;10;10;10;10;9;8;66;3;0;3;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;0;1;11;Yes;14;radius
2024/08/01 6:16:46 PM OESZ;151;1;9;8;10;9;9;9;9;63;3;0;3;3;3;3;3;3;2;3;2;3;31;1;1;1;1;1;0;1;1; ;1;1;1;1;11;Yes;15;radius
2024/08/01 6:24:20 PM OESZ;161;1;6;6;5;7;4;5;5;38;1;0;1;1;1;1;0;1;1;1;1;1;10;1;1;1;0;0;1;1;1; ;1;0;1;1;9;No;16;radius
2024/08/02 11:20:59 PM OESZ;171;1;7;7;7;7;7;7;7;49;2;0;2;2;2;2;2;2;2;2;1;2;21;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;17;radius
2024/08/03 10:00:15 PM OESZ;201;1;8;8;8;9;9;9;8;59;2;0;3;2;3;3;2;2;2;2;3;3;27;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;20;radius
2024/08/03 10:06:27 PM OESZ;211;1;7;7;7;6;7;7;6;47;2;0;2;2;2;2;2;2;2;2;2;2;22;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;21;radius
2024/08/03 10:15:33 PM OESZ;221;1;4;5;5;4;5;4;6;33;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;0;1;1;0;1;1; ;1;1;1;1;9;No;22;radius
2024/08/03 10:24:10 PM OESZ;231;1;4;4;4;4;4;4;4;28;1;0;1;1;1;1;0;1;1;1;1;1;10;0;0;0;0;0;1;1;1; ;1;1;1;1;7;No;23;radius
2024/08/03 10:32:02 PM OESZ;241;1;4;4;4;4;5;4;5;30;1;0;1;1;1;1;1;1;1;1;1;1;11;0;0;0;0;1;1;1;1; ;1;1;1;1;8;No;24;radius
2024/08/03 10:38:38 PM OESZ;251;1;6;7;7;7;7;6;7;47;1;0;0;1;2;2;2;2;2;2;2;2;18;0;0;0;1;1;1;1;1; ;1;1;1;1;9;No;25;radius
2024/08/03 10:44:49 PM OESZ;261;1;5;5;6;6;6;6;6;40;1;0;1;1;2;2;2;2;2;2;2;2;19;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;26;radius
2024/08/03 10:51:09 PM OESZ;271;1;6;4;5;5;5;5;7;37;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;0;0;1;1;1;1; ;1;1;1;1;9;No;27;radius
2024/08/03 10:58:14 PM OESZ;281;1;4;5;5;4;5;5;5;33;1;0;1;1;1;1;1;1;0;1;1;1;10;0;0;0;0;1;0;0;1; ;1;0;1;0;4;No;28;radius
2024/08/03 11:11:57 PM OESZ;291;1;4;4;4;4;5;4;5;30;1;0;1;1;1;0;1;0;1;1;1;1;9;0;0;0;0;0;1;1;1; ;1;1;1;0;6;No;29;radius
2024/08/03 11:19:21 PM OESZ;12;1;5;7;7;6;6;6;6;43;2;0;2;2;2;2;2;2;2;2;2;2;22;0;1;1;1;1;1;1;1; ;1;1;1;1;11;No;1;malleolus
2024/08/03 9:54:00 PM OESZ;181;1;4;4;4;4;4;4;4;28;1;0;1;1;1;1;0;1;1;1;1;1;10;0;0;0;0;0;1;0;1; ;0;0;1;1;4;No;18;radius
2024/08/04 1:28:32 PM OESZ;22;1;4;5;6;5;5;5;6;36;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;1;1;1;0;1;1; ;0;1;1;1;9;No;2;malleolus
2024/08/04 1:36:09 PM OESZ;32;1;9;9;10;10;10;9;9;66;3;0;3;3;3;3;3;2;2;3;3;3;31;1;1;1;1;1;0;0;1; ;1;1;1;1;10;No;3;malleolus
2024/08/04 7:18:52 PM OESZ;42;1;4;4;4;5;4;4;4;29;1;0;0;0;0;1;0;1;1;0;1;1;6;0;1;0;1;0;1;0;1; ;0;0;1;1;6;No;4;malleolus
2024/08/04 7:25:45 PM OESZ;52;1;5;6;5;5;6;6;7;40;1;0;1;1;1;1;1;1;1;1;1;0;10;1;1;1;0;1;1;1;1; ;1;0;0;1;9;No;5;malleolus
2024/08/04 7:33:55 PM OESZ;62;1;4;6;5;4;5;5;6;35;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;6;malleolus
2024/08/04 7:41:17 PM OESZ;72;1;6;7;7;5;7;6;7;45;2;0;1;1;1;2;2;1;2;2;2;2;18;0;0;0;1;1;1;1;1; ;1;1;1;1;9;No;7;malleolus
2024/08/04 7:56:42 PM OESZ;92;1;8;9;9;9;9;9;9;62;3;0;3;3;3;2;3;3;3;3;3;3;32;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;9;malleolus
2024/08/04 8:04:28 PM OESZ;102;1;6;7;7;7;8;6;8;49;2;0;2;2;2;2;2;2;2;1;2;2;21;0;1;0;1;1;1;1;1; ;0;1;1;1;9;No;10;malleolus
2024/08/04 8:58:01 PM OESZ;112;1;7;7;8;7;7;7;7;50;2;0;2;2;2;1;2;2;2;2;2;2;21;1;1;0;0;1;1;1;1; ;1;1;1;1;10;No;11;malleolus
2024/08/04 9:03:36 PM OESZ;122;1;10;10;10;10;10;10;10;70;3;0;3;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;12;malleolus
2024/08/04 9:11:33 PM OESZ;132;1;8;8;9;8;8;8;8;57;2;0;2;2;2;2;2;2;3;2;3;2;24;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;13;malleolus
2024/08/04 9:16:43 PM OESZ;142;1;10;10;10;10;10;10;9;69;3;0;3;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;14;malleolus
2024/08/04 9:23:27 PM OESZ;152;1;10;10;10;9;10;10;9;68;3;0;3;3;3;3;3;3;3;2;3;3;32;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;15;malleolus
2024/08/13 10:13:42 PM OESZ;162;1;4;5;5;4;4;4;5;31;1;0;1;1;1;1;0;1;1;1;1;1;10;0;1;0;0;0;1;1;1; ;0;0;0;1;5;No;16;malleolus
2024/08/13 10:18:42 PM OESZ;172;1;7;7;7;7;7;7;7;49;2;0;2;2;2;2;2;2;2;2;2;2;22;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;17;malleolus
2024/08/13 10:26:15 PM OESZ;182;1;4;4;4;4;4;4;4;28;1;0;1;1;1;0;0;1;1;1;1;1;9;0;0;0;1;1;1;0;0; ;1;1;1;1;7;No;18;malleolus
2024/08/13 10:29:44 PM OESZ;192;1;4;4;4;4;4;4;5;29;1;0;1;1;1;1;1;2;1;1;1;1;12;1;1;1;1;1;1;0;0; ;1;1;1;1;10;No;19;malleolus
2024/08/13 10:40:01 PM OESZ;202;1;9;10;10;9;10;10;10;68;3;0;3;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;20;malleolus
2024/08/14 1:00:50 PM OESZ;111;4;8;8;8;8;7;7;7;53;2;2;2;3;3;3;3;3;3;0;3;0;27;1;1;0;1;1;1;1;1; ;0;1;0;1;9;No;11;radius
2024/08/14 1:18:47 PM OESZ;292;1;6;5;6;7;7;6;6;43;1;0;1;2;2;1;2;2;2;2;2;2;19;1;1;0;0;1;1;1;1; ;1;0;1;1;9;No;29;malleolus
2024/08/14 10:24:35 AM OESZ;212;1;5;5;7;5;4;4;4;34;1;1;0;0;0;1;0;1;0;1;1;1;7;1;0;0;0;0;0;0;0; ;0;1;1;1;4;No;21;malleolus
2024/08/14 10:36:40 AM OESZ;222;1;4;4;4;4;4;4;4;28;1;0;1;1;1;1;1;1;1;1;1;1;11;0;1;0;1;1;1;1;0; ;1;1;1;1;9;No;22;malleolus
2024/08/14 11:21:30 AM OESZ;232;1;4;5;6;5;6;5;7;38;1;0;1;2;2;1;1;2;2;2;2;2;18;0;1;1;1;1;1;1;1; ;1;0;1;1;10;No;23;malleolus
2024/08/14 11:27:34 AM OESZ;242;1;5;6;7;5;7;6;6;42;2;0;2;2;2;2;2;2;2;2;2;2;22;0;1;1;1;1;1;1;1; ;1;1;1;1;11;No;24;malleolus
2024/08/14 11:33:28 AM OESZ;252;1;6;6;7;6;6;6;6;43;1;0;1;1;1;1;1;2;2;1;2;1;14;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;25;malleolus
2024/08/14 11:43:01 AM OESZ;262;1;6;6;7;6;6;6;7;44;2;0;2;1;2;1;2;2;2;1;2;0;17;0;1;0;1;1;1;1;1; ;1;1;1;1;10;No;26;malleolus
2024/08/14 11:55:23 AM OESZ;272;1;5;6;6;5;7;6;5;40;1;0;1;1;1;1;1;1;1;1;1;1;11;0;0;0;0;1;1;1;0; ;1;1;1;1;7;No;27;malleolus
2024/08/14 11:59:42 AM OESZ;282;1;7;8;8;8;8;8;8;55;2;0;2;2;2;2;2;2;2;2;2;2;22;1;1;0;1;1;1;1;1; ;1;1;1;1;11;No;28;malleolus
2024/08/14 12:10:52 PM OESZ;11;4;6;6;6;6;6;7;8;45;1;1;1;1;1;1;0;2;2;1;1;1;13;0;0;0;1;1;1;1;1; ;0;1;0;1;7;No;1;radius
2024/08/14 12:17:28 PM OESZ;21;4;5;5;5;5;6;6;7;39;1;0;1;1;1;2;2;2;1;1;2;2;16;0;0;0;1;1;1;1;1; ;0;1;0;1;7;No;2;radius
2024/08/14 12:20:00 PM OESZ;31;4;8;8;8;8;7;7;8;54;2;2;2;2;2;3;3;3;3;0;3;3;28;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;3;radius
2024/08/14 12:27:45 PM OESZ;41;4;6;7;6;6;5;6;6;42;1;1;1;1;1;2;0;2;0;1;2;2;14;0;0;0;1;0;1;1;1; ;0;1;0;1;6;No;4;radius
2024/08/14 12:32:40 PM OESZ;51;4;6;6;7;6;5;6;6;42;1;1;1;1;1;2;2;2;2;0;2;0;15;0;0;0;0;1;1;1;1; ;0;0;0;1;5;No;5;radius
2024/08/14 12:38:36 PM OESZ;61;4;6;6;7;5;6;5;6;41;1;1;1;0;0;2;2;2;2;0;0;0;11;0;0;0;1;1;1;1;1; ;0;1;0;1;7;No;6;radius
2024/08/14 12:42:00 PM OESZ;71;4;7;7;8;7;7;7;8;51;2;2;2;2;2;2;2;2;2;0;3;2;23;1;1;0;1;1;1;1;1; ;0;1;0;1;9;No;7;radius
2024/08/14 12:54:41 PM OESZ;91;4;8;8;8;8;7;7;9;55;2;2;3;3;3;3;3;3;3;0;3;0;28;1;1;1;1;1;1;1;1; ;0;1;0;1;10;No;9;radius
2024/08/14 12:57:22 PM OESZ;101;4;8;9;8;8;7;8;8;56;2;2;3;3;3;3;3;3;3;0;3;0;28;1;1;1;1;1;1;1;1; ;0;1;0;1;10;No;10;radius
2024/09/04 10:43:09 AM OESZ;12;4;7;7;7;8;8;8;8;53;2;2;2;3;3;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;1;malleolus
2024/09/04 10:47:50 AM OESZ;22;4;6;7;7;7;8;7;7;49;2;1;1;2;2;2;2;2;2;0;2;2;20;0;1;0;1;1;1;1;1; ;0;1;1;1;9;No;2;malleolus
2024/09/04 10:50:45 AM OESZ;32;4;8;8;9;9;9;9;9;61;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;3;malleolus
2024/09/04 10:59:06 AM OESZ;42;4;8;8;8;8;8;8;8;56;3;2;3;3;3;3;3;3;3;2;3;3;34;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;4;malleolus
2024/09/04 11:03:33 AM OESZ;52;4;8;7;7;8;8;8;8;54;2;0;3;2;2;3;3;3;3;2;2;2;27;1;1;1;1;1;1;1;1; ;1;1;0;1;11;No;5;malleolus
2024/09/04 11:15:57 AM OESZ;62;4;7;7;7;7;8;8;8;52;2;2;3;3;3;3;3;3;3;3;3;3;34;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;6;malleolus
2024/09/04 11:18:31 AM OESZ;72;4;6;7;7;6;7;6;7;46;2;2;2;2;2;3;3;3;0;2;2;2;25;1;0;1;1;1;1;0;0; ;1;1;1;1;9;No;7;malleolus
2024/09/04 11:26:18 AM OESZ;92;4;8;8;9;9;9;9;9;61;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;9;malleolus
2024/09/04 11:29:17 AM OESZ;102;4;8;8;9;8;9;8;8;58;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;10;malleolus
2024/09/04 11:32:45 AM OESZ;112;4;8;8;8;8;8;8;8;56;2;2;3;3;3;3;3;3;3;3;3;3;34;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;11;malleolus
2024/09/04 11:34:31 AM OESZ;122;4;8;9;9;9;9;9;9;62;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;12;malleolus
2024/09/04 11:36:44 AM OESZ;132;4;9;9;9;9;9;9;9;63;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;13;malleolus
2024/09/04 12:06:27 PM OESZ;142;4;9;9;9;8;8;8;9;60;3;3;3;3;3;3;3;3;3;2;3;3;35;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;14;malleolus
2024/09/04 12:08:58 PM OESZ;152;4;9;9;9;9;9;9;8;62;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;Yes;15;malleolus
2024/09/04 12:11:46 PM OESZ;162;4;7;7;8;7;7;7;8;51;3;2;2;2;3;2;2;3;3;3;3;3;31;1;1;0;1;1;1;1;1; ;1;1;1;1;11;No;16;malleolus
2024/09/04 12:15:53 PM OESZ;172;4;8;8;8;8;8;8;9;57;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;17;malleolus
2024/09/04 12:19:24 PM OESZ;182;4;5;6;5;5;5;4;4;34;2;1;1;2;2;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0; ;1;1;0;0;3;No;18;malleolus
2024/09/04 12:22:17 PM OESZ;192;4;5;5;5;6;5;5;5;36;1;1;0;0;1;1;1;2;2;1;2;2;14;0;0;0;0;1;1;1;1; ;0;1;0;1;6;No;19;malleolus
2024/09/04 12:24:12 PM OESZ;202;4;8;8;8;8;8;8;9;57;2;3;3;3;3;3;3;3;3;3;3;3;35;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;20;malleolus
2024/09/04 12:27:00 PM OESZ;212;4;7;7;6;6;5;5;5;41;2;1;0;0;0;0;0;0;2;2;2;2;11;0;0;0;1;0;1;0;0; ;1;1;1;1;6;No;21;malleolus
2024/09/04 12:30:38 PM OESZ;222;4;5;5;5;4;6;5;7;37;1;1;1;1;1;2;2;2;2;2;3;3;21;0;0;0;1;1;1;1;1; ;1;1;1;1;9;No;22;malleolus
2024/09/04 12:33:19 PM OESZ;232;4;8;8;8;8;9;9;9;59;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;23;malleolus
2024/09/04 12:35:44 PM OESZ;242;4;8;8;8;9;9;9;9;60;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;24;malleolus
2024/09/04 12:37:44 PM OESZ;252;4;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;25;malleolus
2024/09/04 12:39:25 PM OESZ;262;4;7;7;7;7;8;7;8;51;3;3;2;2;2;3;3;3;3;3;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;26;malleolus
2024/09/04 12:42:45 PM OESZ;272;4;6;6;7;6;7;6;7;45;2;2;2;2;2;3;3;3;3;2;2;2;28;1;1;0;1;1;1;1;1; ;0;1;1;0;9;No;27;malleolus
2024/09/04 12:44:28 PM OESZ;282;4;9;9;9;9;9;9;9;63;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;28;malleolus
2024/09/04 12:45:58 PM OESZ;292;4;8;8;8;8;8;8;8;56;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;29;malleolus
2024/09/04 12:55:58 PM OESZ;273;4;7;7;7;7;8;8;8;52;3;3;0;3;3; ; ;3;3;3;3;3;27;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;27;Ulna
2024/09/04 12:57:58 PM OESZ;283;4;8;8;8;8;8;8;8;56;3;3;0;3;3; ; ;3;3;3;3;3;27;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;28;Ulna
2024/09/04 12:59:24 PM OESZ;293;4;8;8;8;8;8;8;8;56;3;3;0;3;3; ; ;3;3;3;3;3;27;1;0;1;1;1;1;  ; ;0;1;1;1;1;9;No;29;Ulna
2024/09/04 8:20:30 AM OESZ;121;4;9;9;8;8;9;8;9;60;3;3;3;3;3;3;3;3;3;3;3;3;36;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;12;radius
2024/09/04 8:24:12 AM OESZ;131;4;7;7;7;7;8;7;7;50;2;2;2;2;2;2;2;2;2;0;2;2;22;0;1;0;1;1;1;1;1; ;0;1;1;1;9;No;13;radius
2024/09/04 8:36:34 AM OESZ;141;4;8;8;8;8;8;8;8;56;2;2;2;3;2;3;3;3;3;0;3;3;29;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;14;radius
2024/09/04 8:39:30 AM OESZ;151;4;9;9;9;9;8;9;9;62;3;3;3;2;3;3;3;3;3;0;3;2;31;1;1;1;0;1;1;1;1; ;1;1;1;1;11;Yes;15;radius
2024/09/04 8:43:13 AM OESZ;161;4;6;6;7;7;7;6;7;46;2;1;1;1;2;2;1;2;2;0;2;2;18;0;0;0;0;1;1;1;1; ;0;0;0;1;5;No;16;radius
2024/09/04 8:46:49 AM OESZ;171;4;7;7;7;7;8;7;7;50;2;2;2;2;2;3;3;3;3;0;3;3;28;1;0;0;1;1;1;1;1; ;0;1;1;1;9;No;17;radius
2024/09/04 9:02:18 AM OESZ;181;4;7;7;7;7;7;6;6;47;2;1;1;1;1;2;2;2;2;1;2;2;19;1;0;1;1;1;1;1;0; ;0;1;1;1;9;No;18;radius
2024/09/04 9:05:30 AM OESZ;191;4;6;6;7;5;6;6;6;42;1;1;1;1;1;2;0;2;2;0;2;2;15;0;0;0;1;1;1;1;1; ;0;1;1;1;8;No;19;radius
2024/09/04 9:08:01 AM OESZ;201;4;8;8;8;8;8;8;8;56;2;3;2;0;2;3;3;3;3;3;3;3;30;1;1;1;1;1;1;1;1; ;0;1;1;1;11;No;20;radius
2024/09/04 9:12:29 AM OESZ;211;4;6;6;7;7;7;7;8;48;2;2;2;2;2;3;3;3;3;2;3;3;30;1;0;0;1;1;1;1;1; ;0;1;1;1;9;No;21;radius
2024/09/04 9:15:35 AM OESZ;221;4;7;7;8;8;8;8;8;54;2;1;2;2;2;3;3;3;3;0;2;3;26;1;1;0;1;1;1;1;1; ;1;1;1;1;11;No;22;radius
2024/09/04 9:33:05 AM OESZ;231;4;6;7;7;4;6;5;6;41;0;0;1;1;1;2;2;2;2;2;2;2;17;0;0;0;0;1;1;1;1; ;0;1;0;1;6;No;23;radius
2024/09/04 9:38:39 AM OESZ;241;4;6;6;7;7;7;7;7;47;2;2;1;1;1;2;2;2;2;2;2;2;21;0;0;0;0;1;1;1;1; ;0;1;1;1;7;No;24;radius
2024/09/04 9:41:22 AM OESZ;251;4;7;6;6;7;6;6;7;45;2;0;0;0;0;2;2;2;2;2;2;2;16;0;0;0;1;1;1;1;1; ;0;1;1;1;8;No;25;radius
2024/09/04 9:44:27 AM OESZ;261;4;7;7;7;7;7;7;7;49;2;2;2;2;2;3;3;3;3;0;2;2;26;0;1;1;1;1;1;1;1; ;0;1;1;1;10;No;26;radius
2024/09/04 9:47:22 AM OESZ;271;4;8;7;7;7;7;7;7;50;2;2;2;2;2;3;3;3;3;0;2;2;26;1;1;0;1;1;1;1;1; ;0;1;1;1;10;No;27;radius
2024/09/04 9:49:47 AM OESZ;281;4;8;8;9;8;8;8;9;58;3;3;3;3;3;3;3;3;3;0;3;3;33;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;28;radius
2024/09/04 9:53:55 AM OESZ;291;4;7;7;7;7;7;8;8;51;2;2;3;2;2;2;2;2;2;0;2;2;23;1;1;1;1;1;1;1;1; ;1;1;1;1;12;No;29;radius
2024/09/09 1:05:43 PM OESZ;23;3;6;7;7;6;7;6;6;45;1;2;2;2;2; ; ;2;0;1;0;0;12;1;0;1;1;0;1;  ; ;0;1;1;0;1;7;No;2;Ulna
2024/09/09 1:13:04 PM OESZ;33;3;8;9;10;9;10;9;9;64;2;2;2;2;2; ; ;2;2;2;0;0;16;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;3;Ulna
2024/09/09 1:24:24 PM OESZ;43;3;5;5;7;5;6;5;7;40;1;1;1;1;1; ; ;1;1;1;0;0;8;0;0;1;1;0;1;  ; ;0;0;1;1;1;6;No;4;Ulna
2024/09/09 1:37:34 PM OESZ;53;3;4;6;6;5;5;5;5;36;1;1;1;1;2; ; ;2;1;1;0;0;10;0;1;0;1;0;1;  ; ;0;1;1;0;1;6;No;5;Ulna
2024/09/09 12:51:10 PM OESZ;13;3;9;9;10;9;8;9;9;63;2;2;2;2;2; ; ;3;2;2;0;0;17;1;1;1;1;0;1;  ; ;0;1;1;1;1;9;No;1;Ulna
2024/09/09 2:42:49 PM OESZ;63;3;4;5;6;5;5;5;5;35;1;1;1;2;2; ; ;1;1;1;0;0;10;1;1;1;1;1;1;  ; ;0;1;1;0;1;9;No;6;Ulna
2024/09/09 2:50:50 PM OESZ;73;3;5;6;6;5;6;5;5;38;2;1;0;1;1; ; ;1;1;1;0;0;8;0;0;1;1;1;1;  ; ;0;1;1;0;1;7;No;7;Ulna
